2019	Preston	STD	ERROR	4	2.4444444444	.	.
2019	Preston	STD	Whole_plot	2	4.2222222222	3.4545454545	0.1344444444
2019	Preston	STD	Genotype	2	0.2222222222	0.1818181818	0.8402777778
2019	Preston	V1	ERROR	4	2.4444444444	.	.
2019	Preston	V1	Whole_plot	2	0.8888888889	0.7272727273	0.5377777778
2019	Preston	V1	Genotype	2	4.2222222222	3.4545454545	0.1344444444
2019	Preston	V2	ERROR	4	1.1111111111	.	.
2019	Preston	V2	Whole_plot	2	0.8888888889	1.6	0.3086419753
2019	Preston	V2	Genotype	2	2.8888888889	5.2	0.0771604938
2019	Preston	V3	ERROR	4	0.4444444444	.	.
2019	Preston	V3	Whole_plot	2	0.2222222222	1	0.4444444444
2019	Preston	V3	Genotype	2	1.5555555556	7	0.049382716
2019	Preston	W1	ERROR	4	26.444444444	.	.
2019	Preston	W1	Whole_plot	2	3.5555555556	0.268907563	0.7770096022
2019	Preston	W1	Genotype	2	4.2222222222	0.3193277311	0.7435937828
2019	Preston	W2	ERROR	4	3.7777777778	.	.
2019	Preston	W2	Whole_plot	2	6.2222222222	3.2941176471	0.1427160494
2019	Preston	W2	Genotype	2	10.888888889	5.7647058824	0.0663452709
2019	Preston	W3	ERROR	4	10.444444444	.	.
2019	Preston	W3	Whole_plot	2	3.5555555556	0.6808510638	0.5565633661
2019	Preston	W3	Genotype	2	9.5555555556	1.829787234	0.2727160494
