Year,Location,Type,Parameter,Df,Sum Sq,Mean Sq,F value,Pr(>F)
2019,Preston,STD,ERROR,4,2.44444444444444,0.61111111111111,NA,NA
2019,Preston,STD,While_Plot,2,4.22222222222222,2.11111111111111,3.45454545454546,0.134444444444444
2019,Preston,STD,Genotype,2,0.222222222222223,0.111111111111112,0.181818181818183,0.840277777777777
2019,Preston,V1,ERROR,4,2.44444444444445,0.611111111111111,NA,NA
2019,Preston,V1,While_Plot,2,0.888888888888888,0.444444444444444,0.727272727272726,0.537777777777778
2019,Preston,V1,Genotype,2,4.22222222222223,2.11111111111111,3.45454545454546,0.134444444444444
2019,Preston,V2,ERROR,4,1.11111111111111,0.277777777777778,NA,NA
2019,Preston,V2,While_Plot,2,0.88888888888889,0.444444444444445,1.6,0.308641975308641
2019,Preston,V2,Genotype,2,2.88888888888889,1.44444444444444,5.2,0.0771604938271605
2019,Preston,V3,ERROR,4,0.444444444444453,0.111111111111113,NA,NA
2019,Preston,V3,While_Plot,2,0.222222222222222,0.111111111111111,0.99999999999998,0.44444444444445
2019,Preston,V3,Genotype,2,1.55555555555555,0.777777777777777,6.99999999999986,0.0493827160493843
2019,Preston,W1,ERROR,4,26.4444444444444,6.61111111111111,NA,NA
2019,Preston,W1,While_Plot,2,3.55555555555556,1.77777777777778,0.26890756302521,0.777009602194787
2019,Preston,W1,Genotype,2,4.22222222222222,2.11111111111111,0.319327731092437,0.743593782818736
2019,Preston,W2,ERROR,4,3.77777777777778,0.944444444444445,NA,NA
2019,Preston,W2,While_Plot,2,6.22222222222222,3.11111111111111,3.29411764705882,0.142716049382716
2019,Preston,W2,Genotype,2,10.8888888888889,5.44444444444444,5.76470588235294,0.0663452708907255
2019,Preston,W3,ERROR,4,10.4444444444444,2.61111111111111,NA,NA
2019,Preston,W3,While_Plot,2,3.55555555555556,1.77777777777778,0.680851063829788,0.556563366087175
2019,Preston,W3,Genotype,2,9.55555555555556,4.77777777777778,1.82978723404256,0.272716049382716
