"Record","Plot","Row","Column","Cp","Csp","Entry","Year","Location","Genotype","Trait","Value","ID","IDROW","IDCOL","IDX","IDROWCOL","adjmth1","adjmth3","adjmth13"
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","STD",2,"2019_Preston_NxB-RIL-368-16","2019_Preston_STD_1","2019_Preston_STD_1","2019_Preston_STD","2019_Preston_STD_1_1",1.87777777777778,1.9328763348507,1.81065411262847
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","V1",1,"2019_Preston_NxB-RIL-368-16","2019_Preston_V1_1","2019_Preston_V1_1","2019_Preston_V1","2019_Preston_V1_1_1",0.855555555555556,1.08651828334684,0.825855249332013
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","V2",3,"2019_Preston_NxB-RIL-368-16","2019_Preston_V2_1","2019_Preston_V2_1","2019_Preston_V2","2019_Preston_V2_1_1",2.01111111111111,2.80282946626847,1.81394057737959
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","V3",1,"2019_Preston_NxB-RIL-368-16","2019_Preston_V3_1","2019_Preston_V3_1","2019_Preston_V3","2019_Preston_V3_1_1",0.777777777777778,1.15028039284054,0.407856810785681
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","W1",4,"2019_Preston_NxB-RIL-368-16","2019_Preston_W1_1","2019_Preston_W1_1","2019_Preston_W1","2019_Preston_W1_1_1",4.62222222222222,3.68766916156347,4.30989138378569
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","W2",5,"2019_Preston_NxB-RIL-368-16","2019_Preston_W2_1","2019_Preston_W2_1","2019_Preston_W2","2019_Preston_W2_1_1",4.45555555555556,4.51425274916654,4.7301083495049
521,101,1,1,0,0,521,2019,"Preston","NxB-RIL-368-16","W3",4,"2019_Preston_NxB-RIL-368-16","2019_Preston_W3_1","2019_Preston_W3_1","2019_Preston_W3","2019_Preston_W3_1_1",5.72222222222222,4.20108744194355,5.51983744194355
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","STD",3,"2019_Preston_BxN-RIL-359-4","2019_Preston_STD_1","2019_Preston_STD_1","2019_Preston_STD","2019_Preston_STD_1_1",2.87777777777778,2.9328763348507,2.81065411262847
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","V1",3,"2019_Preston_BxN-RIL-359-4","2019_Preston_V1_1","2019_Preston_V1_1","2019_Preston_V1","2019_Preston_V1_1_1",2.85555555555556,3.08651828334684,2.82585524933201
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","V2",3,"2019_Preston_BxN-RIL-359-4","2019_Preston_V2_1","2019_Preston_V2_1","2019_Preston_V2","2019_Preston_V2_1_1",2.01111111111111,2.80282946626847,1.81394057737959
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","V3",3,"2019_Preston_BxN-RIL-359-4","2019_Preston_V3_1","2019_Preston_V3_1","2019_Preston_V3","2019_Preston_V3_1_1",2.77777777777778,3.15028039284054,2.40785681078568
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","W1",4,"2019_Preston_BxN-RIL-359-4","2019_Preston_W1_1","2019_Preston_W1_1","2019_Preston_W1","2019_Preston_W1_1_1",4.62222222222222,3.68766916156347,4.30989138378569
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","W2",6,"2019_Preston_BxN-RIL-359-4","2019_Preston_W2_1","2019_Preston_W2_1","2019_Preston_W2","2019_Preston_W2_1_1",5.45555555555556,5.51425274916654,5.7301083495049
284,102,1,1,0,0,284,2019,"Preston","BxN-RIL-359-4","W3",5,"2019_Preston_BxN-RIL-359-4","2019_Preston_W3_1","2019_Preston_W3_1","2019_Preston_W3","2019_Preston_W3_1_1",6.72222222222222,5.20108744194355,6.51983744194355
673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","STD",3,"2019_Preston_NxB-RIL-374-22","2019_Preston_STD_1","2019_Preston_STD_1","2019_Preston_STD","2019_Preston_STD_1_1",2.87777777777778,2.9328763348507,2.81065411262847
673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","V1",3,"2019_Preston_NxB-RIL-374-22","2019_Preston_V1_1","2019_Preston_V1_1","2019_Preston_V1","2019_Preston_V1_1_1",2.85555555555556,3.08651828334684,2.82585524933201
673,103,1,1,0,0,673,2019,"Preston","NxB-RIL-374-22","V2",3,"2019_Preston_NxB-RIL-374-22","2019_Preston_V2_1","2019_Preston_V2_1","2019_Preston_V2","2019_Preston_V2_1_1",2.01111111111111,2.80282946626847,1.81394057737959
